"ADM1_NAME","Bacterial_Blight_Risk","Brown_Spot_Risk","Leaf_Blast_Risk"
"Andaman and Nicobar",NA,NA,NA
"Andhra Pradesh","Moderately Severe","Low","Low"
"Assam","Severe","Low","Low"
"Delhi","Moderately Low","Low","Low"
"Goa","Severe","Low","Low"
"Gujarat","Moderately Low","Low","Low"
"Haryana","Moderate","Low","Low"
"Himachal Pradesh","Low","Low","Low"
"Karnataka","Moderately Severe","Low","Low"
"Kerala",NA,"Moderately Low","Low"
"Lakshadweep",NA,NA,NA
"Maharashtra","Moderately Severe","Low","Low"
"Manipur","Severe","Low","Low"
"Meghalaya","Severe","Low","Low"
"Mizoram","Severe","Moderately Low","Low"
"Nagaland","Severe","Low","Low"
"Orissa",NA,"Moderately Low","Low"
"Punjab","Moderate","Low","Low"
"Rajasthan","Moderate","Low","Low"
"Sikkim","Low","Low","Low"
"Tamil Nadu","Moderately Severe","Low","Low"
"Tripura",NA,"Moderately Low","Low"
"West Bengal",NA,"Low","Low"
"Arunachal Pradesh","Moderate","Low","Low"
"Bihar","Severe","Low","Low"
"Chandigarh","Moderately Severe","Low","Low"
"Chhattisgarh","Severe","Low","Low"
"Dadra and Nagar Haveli",NA,NA,NA
"Daman and Diu","Moderately Severe","Low","Low"
"Jharkhand","Severe","Low","Low"
"Madhya Pradesh","Moderately Severe","Low","Low"
"Puducherry",NA,"Moderately Low","Low"
"Uttar Pradesh","Moderately Severe","Low","Low"
"Uttarakhand","Moderately Low","Low","Low"
